"","subplot_id","disturbance_severity","treatment","name","mean2018","mean2020"
"74","A04W","0","T","p10",5.93,2.97
"75","A04W","0","T","p25",9.63,8.44
"76","A04W","0","T","p50",14.97,15.31
"77","A04W","0","T","p75",18.64,19.45
"78","A04W","0","T","p90",21.99,21.21
"79","A04W","0","T","cover_fraction",99.7,99.26
"80","A04W","0","T","vai_mean",7.9,7.55
"81","B01E","0","B","mean_height_mean",13.29,11.49
"82","B01E","0","B","moch",18.99,19.38
"83","B01E","0","B","max_ht",28.64,29.02
"84","B01E","0","B","p10",1.91,1.83
"85","B01E","0","B","p25",2.89,2.52
"86","B01E","0","B","p50",7.35,6.81
"87","B01E","0","B","p75",13.71,13.46
"88","B01E","0","B","p90",15.7,15.28
"89","B01E","0","B","cover_fraction",97.72,99.02
"90","B01E","0","B","vai_mean",7.36,7.48
"91","B01W","0","T","mean_height_mean",6.97,6.73
"92","B01W","0","T","moch",13.46,15.3
"93","B01W","0","T","max_ht",29.52,29.41
"94","B01W","0","T","p10",1.42,1.62
"95","B01W","0","T","p25",1.78,2.04
"96","B01W","0","T","p50",2.77,2.93
"97","B01W","0","T","p75",5.02,5.14
"98","B01W","0","T","p90",9.61,10.97
"99","B01W","0","T","cover_fraction",96.5,99.03
"100","B01W","0","T","vai_mean",7.06,7.37
"101","B02E","45","T","mean_height_mean",NA,9.91
"102","B02E","45","T","moch",NA,15.28
"103","B02E","45","T","max_ht",NA,27.24
"104","B02E","45","T","p10",NA,1.59
"105","B02E","45","T","p25",NA,2.51
"106","B02E","45","T","p50",NA,4.74
"107","B02E","45","T","p75",NA,9.35
"108","B02E","45","T","p90",NA,13.63
"109","B02E","45","T","cover_fraction",NA,99.05
"110","B02E","45","T","vai_mean",NA,7.51
"111","B02W","45","B","mean_height_mean",NA,10.93
"112","B02W","45","B","moch",NA,21.04
"113","B02W","45","B","max_ht",NA,30.84
"114","B02W","45","B","p10",NA,2.21
"115","B02W","45","B","p25",NA,3.59
"116","B02W","45","B","p50",NA,6.55
"117","B02W","45","B","p75",NA,11.63
"118","B02W","45","B","p90",NA,18.18
"119","B02W","45","B","cover_fraction",NA,96.22
