"","subplot_id","disturbance_severity","treatment","name","mean2018","mean2020","diffMean","logRR","s","cohens.d"
"1","A01E",85,"B","richness",6,2,-0.666666666666667,1.09861228866811,4.47213595499958,0.894427190999916
"2","A01E",85,"B","sw.index",1.34908855563904,0.450561208866305,-0.666025475508624,1.09669056289236,1.00574483192589,0.893394942981857
"3","A01E",85,"B","evenness",0.752940659060819,0.650022421648354,-0.136688377993613,0.146979561528036,0.703366470878635,0.146322353529165
"4","A01W",85,"T","richness",5,3,-0.4,0.510825623765991,4.12310562561766,0.485071250072666
"5","A01W",85,"T","sw.index",1.33732792710626,0.831008842951881,-0.378605033134963,0.475788381726033,1.11333321195466,0.454777670079061
"6","A01W",85,"T","evenness",0.830928560073308,0.756416846528583,-0.0896728276353277,0.0939512140156219,0.794546637290017,0.0937789049096778
"7","A02E",45,"T","richness",5,3,-0.4,0.510825623765991,4.12310562561766,0.485071250072666
"8","A02E",45,"T","sw.index",1.28197760115359,0.842095302131653,-0.343127913175792,0.420265972262057,1.08457159001417,0.405581616807973
"9","A02E",45,"T","evenness",0.796537468919656,0.766508176558409,-0.0376997863038085,0.0384288045516453,0.781667040409095,0.0384169867844643
"10","A02W",45,"B","richness",5,1,-0.8,1.6094379124341,3.60555127546399,1.10940039245046
"11","A02W",45,"B","sw.index",1.23332480870373,0.001,-0.999189183584938,7.11746889807848,0.872092622306856,1.41306643031103
"12","A02W",45,"B","evenness",0.766307789306679,0,-1,Inf,0.541861434294825,1.4142135623731
"13","A03E",65,"B","richness",6,3,-0.5,0.693147180559945,4.74341649025257,0.632455532033676
"14","A03E",65,"B","sw.index",1.30907490053619,0.974314752869349,-0.255722684416091,0.295341577597974,1.15389911449674,0.29011214538703
"15","A03E",65,"B","evenness",0.730608612940766,0.886859507142915,0.21386401889409,-0.193808675567987,0.812498840218558,-0.19230906737063
"16","A03W",65,"T","richness",7,6,-0.142857142857143,0.154150679827258,6.51920240520265,0.153392997769474
"17","A03W",65,"T","sw.index",1.44495453990637,1.33697178872052,-0.0747308985878853,0.0776706633333297,1.39201062967037,0.0775732231379714
"18","A03W",65,"T","evenness",0.74255974285753,0.746178162684153,0.00487290061362442,-0.00486106646228729,0.744371151435673,-0.00486104253186651
"19","A04E",0,"B","richness",6,6,0,0,6,0
"20","A04E",0,"B","sw.index",1.37433312699034,1.32490697731735,-0.0359637330297307,0.0366263637408026,1.34984629541427,0.0366161316595137
"21","A04E",0,"B","evenness",0.767029922594716,0.739444663232705,-0.0359637330297307,0.0366263637408026,0.753363561681538,0.0366161316595137
"22","A04W",0,"T","richness",4,4,0,0,4,0
"23","A04W",0,"T","sw.index",1.18052019287459,1.18052019287459,0,0,1.18052019287459,0
"24","A04W",0,"T","evenness",0.851565313964725,0.851565313964725,0,0,0.851565313964725,0
"25","B01E",0,"B","richness",6,5,-0.166666666666667,0.182321556793955,5.52268050859363,0.181071492085037
"26","B01E",0,"B","sw.index",0.866254975464753,0.992303670170755,0.145509922916605,-0.135849885393846,0.931414047658664,-0.135330463420491
"27","B01E",0,"B","evenness",0.483466107109769,0.616552935968809,0.275276440068679,-0.243162970849395,0.554020306295551,-0.240220127938853
"28","B01W",0,"T","richness",4,4,0,0,4,0
"29","B01W",0,"T","sw.index",1.0085861695278,1.16104738777437,0.151163304487849,-0.14077300020376,1.08749186158344,-0.140195272840546
"30","B01W",0,"T","evenness",0.727541132543477,0.837518654289581,0.151163304487849,-0.14077300020376,0.784459557856769,-0.140195272840546
"31","B02E",45,"T","richness",8,7,-0.125,0.133531392624523,7.51664818918645,0.133038021047548
"32","B02E",45,"T","sw.index",1.33225469009013,1.30574342008216,-0.0198995508930623,0.0201002134814801,1.31906566143521,0.020098521842441
"33","B02E",45,"T","evenness",0.640679078198031,0.671019379140432,0.0473564721790745,-0.0462693440266887,0.656024652136903,-0.0462487207509216
"34","B02W",45,"B","richness",7,5,-0.285714285714286,0.336472236621213,6.08276253029822,0.328797974610715
"35","B02W",45,"B","sw.index",1.25829631580386,0.860914271331054,-0.315809590699579,0.379519023928838,1.07807304969261,0.368604005624768
"36","B02W",45,"B","evenness",0.646636390901568,0.534916112438917,-0.172771406055397,0.189674208677672,0.593411269435022,0.188267874604098
"37","B03E",85,"B","richness",7,1,-0.857142857142857,1.94591014905531,5,1.2
"38","B03E",85,"B","sw.index",0.768626048836626,0.001,-0.998698977218488,6.64460456883491,0.543501151309822,1.41237244297766
"39","B03E",85,"B","evenness",0.394995652399353,0,-1,Inf,0.279304104350787,1.41421356237309
"40","B03W",85,"T","richness",6,2,-0.666666666666667,1.09861228866811,4.47213595499958,0.894427190999916
"41","B03W",85,"T","sw.index",1.0105395475138,0.261764482909015,-0.74096562222327,1.35079449336212,0.738143218353329,1.0144035005499
"42","B03W",85,"T","evenness",0.563992860017741,0.3776463213737,-0.330405847049515,0.401083491997798,0.479950356911045,0.388262110780299
"43","B04E",65,"T","richness",6,5,-0.166666666666667,0.182321556793955,5.52268050859363,0.181071492085037
"44","B04E",65,"T","sw.index",0.994439250465347,0.855465838068894,-0.139750530091628,0.150532850511221,0.927558953104598,0.149827040029424
"45","B04E",65,"T","evenness",0.555007113144368,0.53153081051452,-0.042299102252661,0.0432197650556721,0.543395757329346,0.0432029553289631
"46","B04W",65,"B","richness",7,2,-0.714285714285714,1.25276296849537,5.1478150704935,0.971285862357264
"47","B04W",65,"B","sw.index",1.1387640295942,0.325082973391448,-0.714529994851267,1.25361831618036,0.837395502342424,0.971680709923402
"48","B04W",65,"B","evenness",0.585208947158756,0.468995593589281,-0.198584375945894,0.221375585020416,0.53029537931271,0.219148342797355
"49","C01E",0,"T","richness",8,8,0,0,8,0
"50","C01E",0,"T","sw.index",1.58112487192362,1.67528816738329,0.0595546228711896,-0.0578486527263941,1.62888709006947,-0.0578083625524059
"51","C01E",0,"T","evenness",0.760360337250137,0.805643310381279,0.0595546228711895,-0.0578486527263941,0.783329109003759,-0.0578083625524059
"52","C01W",0,"B","richness",7,7,0,0,7,0
"53","C01W",0,"B","sw.index",1.44224606062295,1.43699892123867,-0.00363817210359649,0.00364480634762664,1.43962488152704,0.00364479626019979
"54","C01W",0,"B","evenness",0.741167859843436,0.738471363611671,-0.0036381721035965,0.00364480634762664,0.739820840250996,0.00364479626019981
"55","C02E",65,"B","richness",7,3,-0.571428571428571,0.847297860387204,5.3851648071345,0.742781352708207
"56","C02E",65,"B","sw.index",1.10277249831193,0.556646903582107,-0.495229610428085,0.683651627217414,0.87348811048024,0.625223844694995
"57","C02E",65,"B","evenness",0.566712958893449,0.506681847020801,-0.105928602708969,0.111969644255837,0.537536078732478,0.111678293323498
"58","C02W",65,"T","richness",7,6,-0.142857142857143,0.154150679827258,6.51920240520265,0.153392997769474
"59","C02W",65,"T","sw.index",0.998841237971235,1.22509491230438,0.226516152649737,-0.204177754340031,1.11770777997337,-0.202426500367149
"60","C02W",65,"T","evenness",0.513302856483967,0.683738489090942,0.332037179326117,-0.286709484135648,0.604556922025943,-0.281918255167478
"61","C03E",85,"B","richness",8,2,-0.75,1.38629436111989,5.8309518948453,1.02899151085505
"62","C03E",85,"B","sw.index",1.56593923685912,0.598269588585257,-0.617948401506794,0.962199604907769,1.18534640383326,0.816360217692094
