,disturbance_severity,treatment,name,mean2018,mean2020,diffMean,sd2018,sd2020,diffSD,s,cohens.d
38,45,T,p75,6.95,8.38,0.205755396,2.54,1.64,-0.354330709,2.137896162,-0.668881878
39,45,T,p90,13.39,12.75,-0.047796863,0.34,0.59,0.735294118,0.481508048,1.329157432
40,45,T,vai_mean,6.84,6.32,-0.076023392,0.11,0.91,7.272727273,0.648151217,0.802281916
41,65,B,cover_fraction,88.03,81.78,-0.070998523,14.01,22.67,0.618129907,18.84421662,0.331666746
42,65,B,max_ht,22.34,24.05,0.076544315,6.12,5.4,-0.117647059,5.771239035,-0.296296859
43,65,B,mean_height_mean,8.89,8.46,-0.048368954,2.42,2.66,0.099173554,2.542833066,0.169102725
44,65,B,moch,13.31,15.08,0.13298272,4.12,5.87,0.424757282,5.071060047,-0.349039448
45,65,B,p10,1.8,1.83,0.016666667,0.16,0.19,0.1875,0.175641681,-0.170802283
46,65,B,p25,2.71,2.58,-0.04797048,0.24,0.21,-0.125,0.225499446,0.576498091
47,65,B,p50,4.66,4.7,0.008583691,0.74,0.61,-0.175675676,0.678122408,-0.058986401
48,65,B,p75,9.16,8.88,-0.030567686,2.78,2.19,-0.212230216,2.502448801,0.111890401
49,65,B,p90,13.02,14.56,0.11827957,3.1,4.84,0.561290323,4.06420964,-0.378917462
50,65,B,vai_mean,6.35,5.76,-0.092913386,1.4,1.91,0.364285714,1.674529785,0.352337716
51,65,T,cover_fraction,91.86,84.84,-0.07642064,10.75,16.96,0.577674419,14.19866367,0.494412725
52,65,T,max_ht,23.9,24.49,0.024686192,5.29,5.96,0.126654064,5.634966726,-0.104703369
53,65,T,mean_height_mean,9.61,9.12,-0.050988554,1.82,2.78,0.527472527,2.349553149,0.208550294
54,65,T,moch,14.32,15.35,0.071927374,2.76,4.8,0.739130435,3.915201144,-0.263077161
55,65,T,p10,2.18,1.99,-0.087155963,0.35,0.22,-0.371428571,0.29231832,0.649976369
56,65,T,p25,3.24,3.15,-0.027777778,0.78,0.74,-0.051282051,0.760263112,0.118380069
57,65,T,p50,5.43,5.39,-0.007366483,1.08,1.76,0.62962963,1.46013698,0.02739469
58,65,T,p75,9.85,9.98,0.01319797,1.53,2.27,0.483660131,1.935691091,-0.067159476
59,65,T,p90,13.56,14.83,0.093657817,2.9,5.18,0.786206897,4.197761308,-0.302542214
60,65,T,vai_mean,6.71,5.86,-0.126676602,1.13,1.6,0.415929204,1.385081225,0.613682421
61,85,B,cover_fraction,95.24,87.58,-0.080428391,2.43,8.58,2.530864198,6.30560465,1.214792304
62,85,B,max_ht,26.28,25.54,-0.028158295,4.21,4.47,0.06175772,4.341946568,0.170430471
63,85,B,mean_height_mean,9.36,9,-0.038461538,1.3,1.4,0.076923077,1.350925609,0.266483956
64,85,B,moch,16.13,16.81,0.042157471,3.5,3.53,0.008571429,3.515032006,-0.193454853
65,85,B,p10,1.65,1.55,-0.060606061,0.25,0.2,-0.2,0.226384628,0.441726104
66,85,B,p25,2.25,2.21,-0.017777778,0.47,0.36,-0.234042553,0.418628714,0.095550063
67,85,B,p50,5.46,4.06,-0.256410256,1.84,1.02,-0.445652174,1.487615542,0.94110337
68,85,B,p75,9.55,8.69,-0.090052356,2.79,1.78,-0.362007168,2.340138885,0.367499556
69,85,B,p90,15.54,16.72,0.075933076,2.44,2.87,0.176229508,2.663691048,-0.442994318
70,85,B,vai_mean,6.84,5.82,-0.149122807,0.22,0.63,1.863636364,0.471858029,2.161667146
71,85,T,cover_fraction,95.9,88.01,-0.082273201,4.46,12.44,1.789237668,9.344656227,0.844332826
72,85,T,max_ht,26.74,26.42,-0.011967091,4.41,4.47,0.013605442,4.44010135,0.072070427
73,85,T,mean_height_mean,10.5,8.74,-0.167619048,1.76,1.46,-0.170454545,1.61697248,1.088453899
74,85,T,moch,16.42,17.16,0.045066991,2.31,3.07,0.329004329,2.716707566,-0.272388537
75,85,T,p10,1.74,1.71,-0.017241379,0.25,0.21,-0.16,0.230867928,0.129944425
76,85,T,p25,2.76,2.31,-0.163043478,1.15,0.39,-0.660869565,0.858661749,0.524071324
77,85,T,p50,4.76,3.9,-0.180672269,1.93,0.94,-0.512953368,1.517975626,0.566544011
78,85,T,p75,10.93,8.9,-0.185727356,1.97,2.75,0.395939086,2.392007525,0.848659538
79,85,T,p90,17.16,15.37,-0.104312354,4.29,3.03,-0.293706294,3.713825521,0.481982794
80,85,T,vai_mean,6.87,6.01,-0.125181951,0.65,1.41,1.169230769,1.097861558,0.783341027
